checkout_id,cart_id,user_id,checkout_started,completed_checkout
1,1,1,1,1
2,2,1,1,1
3,3,1,1,0
4,4,1,1,0
5,5,1,1,0
6,6,1,1,1
7,7,1,1,0
8,9,2,1,1
9,10,2,1,0
10,11,2,1,0
11,13,2,1,1
12,14,3,1,1
13,15,3,1,0
14,19,4,1,1
15,20,4,1,0
16,21,4,1,0
17,22,6,1,0
18,23,6,1,1
19,24,6,1,1
20,25,6,1,1
21,27,6,1,0
22,28,6,1,0
23,29,6,1,0
24,32,7,1,1
25,33,8,1,1
26,34,9,1,0
27,35,10,1,1
28,36,10,1,1
29,37,10,1,0
30,38,11,1,0
31,40,12,1,0
32,41,12,1,1
33,42,12,1,1
34,44,12,1,0
35,45,12,1,0
36,46,13,1,1
37,48,13,1,0
38,50,13,1,0
39,51,14,1,1
40,52,14,1,0
41,53,14,1,0
42,54,14,1,0
43,55,17,1,0
44,56,17,1,0
45,58,18,1,0
46,59,19,1,0
47,60,20,1,1
48,61,20,1,0
49,62,21,1,0
50,63,21,1,1
51,64,21,1,0
52,65,21,1,1
53,66,21,1,0
54,67,21,1,0
55,68,21,1,0
56,69,21,1,0
57,71,21,1,0
58,73,22,1,1
59,74,22,1,1
60,75,22,1,1
61,76,22,1,0
62,77,22,1,0
63,78,24,1,1
64,79,24,1,0
65,80,24,1,1
66,81,24,1,0
67,83,24,1,0
68,85,24,1,0
69,86,24,1,0
70,88,25,1,1
71,90,26,1,0
72,91,26,1,0
73,92,27,1,1
74,96,27,1,0
75,97,27,1,0
76,100,28,1,1
77,102,28,1,1
78,103,28,1,1
79,104,29,1,0
80,105,30,1,0
81,109,32,1,0
82,110,32,1,1
83,111,33,1,0
84,112,33,1,0
85,113,33,1,1
86,117,34,1,0
87,118,34,1,1
88,119,34,1,1
89,120,34,1,0
90,122,35,1,1
91,123,35,1,0
92,124,35,1,1
93,125,35,1,0
94,126,36,1,1
95,127,37,1,0
96,128,37,1,1
97,129,37,1,1
98,131,37,1,0
99,132,37,1,1
100,134,38,1,0
101,136,38,1,1
102,137,38,1,0
103,138,38,1,1
104,139,39,1,0
105,140,40,1,0
106,141,40,1,0
107,143,41,1,0
108,145,41,1,0
109,146,42,1,0
110,147,42,1,1
111,148,42,1,1
112,150,43,1,0
113,154,44,1,0
114,156,45,1,1
115,157,45,1,0
116,158,45,1,0
117,159,46,1,0
118,160,46,1,0
119,161,46,1,0
120,162,47,1,0
121,164,47,1,0
122,166,47,1,1
123,167,48,1,0
124,168,48,1,0
125,169,48,1,0
126,170,48,1,1
127,173,49,1,1
128,174,49,1,1
129,175,49,1,1
130,176,51,1,1
131,177,51,1,0
132,178,51,1,1
133,179,51,1,1
134,181,51,1,1
135,182,51,1,0
136,183,52,1,1
137,184,52,1,1
138,185,53,1,0
139,186,54,1,0
140,188,54,1,0
141,189,55,1,0
142,190,55,1,0
143,191,57,1,0
144,192,57,1,1
145,193,57,1,1
146,194,57,1,0
147,195,57,1,0
148,196,58,1,0
149,197,58,1,1
150,198,58,1,0
151,199,58,1,0
152,200,59,1,0
153,203,60,1,1
154,204,61,1,0
155,205,61,1,0
156,206,61,1,0
157,208,61,1,0
158,209,62,1,0
159,210,63,1,1
160,212,63,1,1
161,214,63,1,0
162,215,63,1,0
163,216,63,1,0
164,217,63,1,0
165,220,64,1,0
166,221,64,1,1
167,223,65,1,0
168,224,65,1,1
169,225,65,1,1
170,226,65,1,0
171,227,66,1,0
172,228,67,1,1
173,229,67,1,0
174,230,68,1,0
175,231,69,1,0
176,233,69,1,0
177,234,69,1,0
178,235,70,1,1
179,236,70,1,0
180,238,72,1,0
181,241,74,1,0
182,242,74,1,0
183,243,75,1,0
184,244,75,1,1
185,245,76,1,1
186,246,76,1,0
187,247,77,1,0
188,248,77,1,1
189,249,77,1,0
190,250,77,1,0
191,252,78,1,0
192,253,79,1,0
193,254,79,1,1
194,255,79,1,0
195,256,79,1,0
196,257,79,1,0
197,258,79,1,0
198,262,80,1,0
199,264,81,1,1
200,265,81,1,0
201,267,81,1,1
202,268,82,1,0
203,269,82,1,1
204,272,82,1,0
205,273,82,1,0
206,274,82,1,0
207,275,82,1,0
208,276,83,1,1
209,277,83,1,1
210,279,83,1,0
211,280,83,1,0
212,282,83,1,1
213,283,85,1,1
214,284,85,1,1
215,285,85,1,0
216,286,85,1,0
217,287,85,1,0
218,288,85,1,0
219,289,85,1,1
220,290,85,1,0
221,291,86,1,1
222,292,87,1,0
223,294,88,1,1
